Target_PMUT,N_train,Regime,Regime_Name,Step_Type,Approach,Model,Full_MAE,Full_R2,ROI_MAE,ROI_R2
9,6,2,Regime 2 (3–11),within,Pointwise,Physics,0.002881,-0.0411,0.019085,-15.7261
10,7,2,Regime 2 (3–11),within,Vector,RF,0.000724,0.9809,0.000716,0.9755
10,7,2,Regime 2 (3–11),within,Vector,GB,0.000424,0.9933,0.00056,0.9841
10,7,2,Regime 2 (3–11),within,Vector,MLP,0.00872,-2.9191,0.017372,-13.0451
10,7,2,Regime 2 (3–11),within,Vector,Physics,0.002975,-0.0186,0.018876,-15.0462
10,7,2,Regime 2 (3–11),within,Pointwise,RF,0.00043,0.9932,0.000603,0.9843
10,7,2,Regime 2 (3–11),within,Pointwise,GB,0.000489,0.9878,0.001035,0.9335
10,7,2,Regime 2 (3–11),within,Pointwise,MLP,0.003267,0.3317,0.004438,0.014
10,7,2,Regime 2 (3–11),within,Pointwise,Physics,0.002975,-0.0186,0.018876,-15.0462
11,8,2,Regime 2 (3–11),within,Vector,RF,0.000655,0.9848,0.000803,0.9718
11,8,2,Regime 2 (3–11),within,Vector,GB,0.000385,0.9945,0.000546,0.984
11,8,2,Regime 2 (3–11),within,Vector,MLP,0.008347,-2.5448,0.016726,-11.7607
11,8,2,Regime 2 (3–11),within,Vector,Physics,0.00302,-0.015,0.018963,-14.902
11,8,2,Regime 2 (3–11),within,Pointwise,RF,0.000403,0.9939,0.00066,0.9787
11,8,2,Regime 2 (3–11),within,Pointwise,GB,0.000438,0.9893,0.000903,0.9463
11,8,2,Regime 2 (3–11),within,Pointwise,MLP,0.002337,0.6959,0.002722,0.6025
11,8,2,Regime 2 (3–11),within,Pointwise,Physics,0.00302,-0.015,0.018963,-14.902
12,9,2,Regime 2 (3–11),cross,Vector,RF,0.005813,-0.2377,0.005807,-0.5633
12,9,2,Regime 2 (3–11),cross,Vector,GB,0.005619,-0.1593,0.005565,-0.4507
12,9,2,Regime 2 (3–11),cross,Vector,MLP,0.005096,-0.5289,0.010753,-5.4942
12,9,2,Regime 2 (3–11),cross,Vector,Physics,0.005813,-1.2073,0.024118,-25.7925
12,9,2,Regime 2 (3–11),cross,Pointwise,RF,0.005637,-0.1661,0.005684,-0.5076
12,9,2,Regime 2 (3–11),cross,Pointwise,GB,0.005673,-0.1842,0.005977,-0.6992
12,9,2,Regime 2 (3–11),cross,Pointwise,MLP,0.004414,0.24,0.00482,-0.0988
12,9,2,Regime 2 (3–11),cross,Pointwise,Physics,0.005813,-1.2073,0.024118,-25.7925
13,1,3,Regime 3 (12–16),within,Vector,RF,5.1e-05,0.9997,0.000304,0.9951
13,1,3,Regime 3 (12–16),within,Vector,GB,5.1e-05,0.9997,0.000304,0.9951
13,1,3,Regime 3 (12–16),within,Vector,MLP,0.002663,0.6258,0.002504,0.6092
13,1,3,Regime 3 (12–16),within,Vector,Physics,0.003208,-0.0,0.018488,-15.3538
13,1,3,Regime 3 (12–16),within,Pointwise,RF,4.1e-05,0.9998,0.000216,0.9974
13,1,3,Regime 3 (12–16),within,Pointwise,GB,7e-05,0.9994,0.000324,0.9941
13,1,3,Regime 3 (12–16),within,Pointwise,MLP,0.000282,0.9926,0.000957,0.9476
13,1,3,Regime 3 (12–16),within,Pointwise,Physics,0.003208,-0.0,0.018488,-15.3538
14,2,3,Regime 3 (12–16),within,Vector,RF,4.2e-05,0.9998,0.000142,0.9984
14,2,3,Regime 3 (12–16),within,Vector,GB,4.1e-05,0.9999,0.000112,0.9993
14,2,3,Regime 3 (12–16),within,Vector,MLP,0.030799,-36.54,0.048089,-106.0319
14,2,3,Regime 3 (12–16),within,Vector,Physics,0.003197,-0.0,0.018601,-15.4949
14,2,3,Regime 3 (12–16),within,Pointwise,RF,4.1e-05,0.9999,0.000128,0.9989
14,2,3,Regime 3 (12–16),within,Pointwise,GB,7e-05,0.9995,0.000226,0.9965
14,2,3,Regime 3 (12–16),within,Pointwise,MLP,0.126492,-594.5342,0.127113,-724.1292
14,2,3,Regime 3 (12–16),within,Pointwise,Physics,0.003197,-0.0,0.018601,-15.4949
15,3,3,Regime 3 (12–16),within,Vector,RF,0.000166,0.9979,0.000609,0.9776
15,3,3,Regime 3 (12–16),within,Vector,GB,0.000158,0.9982,0.000584,0.9801
15,3,3,Regime 3 (12–16),within,Vector,MLP,0.017167,-11.5571,0.028368,-36.0037
