N_PMUT,Frequency_Hz,Frequency_MHz,Amplitude_R_mean,Amplitude_R_std,Phase_deg_mean,Phase_deg_std,V,PMUTSweep,DetectionN,w_rad_s,phase_rad,X_val,Y_val
1,100000.0000003354,0.1000000000003354,0.6981836666666666,2.9399546481792233e-05,0.023234633333333334,1.423528479986605e-05,-0.0057882566666666675,1,0,628318.530720066,0.00040552085216029186,0.6981836092595064,0.00028312802771113027
1,100322.7294460629,0.10032272944606291,0.6982050000000001,2.6664583252010905e-05,0.023153366666666664,1.3394899526809263e-05,-0.005615323333333334,1,0,630346.2996316553,0.0004041024812548377,0.6982049429919761,0.000282146365245506
1,100646.5004351753,0.1006465004351753,0.6982216666666666,1.6258331197681713e-05,0.023068266666666667,1.0020146372849063e-05,-0.0057068733333333335,1,0,632380.6127533372,0.0004026172060613906,0.6982216100755867,0.0002811160490500134
1,100971.3163279713,0.10097131632797131,0.6982213333333332,1.3650396819635382e-05,0.0229867,1.4473078456223489e-05,-0.0057373933333333335,1,0,634421.4911984915,0.0004011935991681805,0.6982212771417714,0.00028012192222144085
1,101297.1804981788,0.1012971804981788,0.6982430000000001,2.1931712199389592e-05,0.022906133333333332,1.0192807921927957e-05,-0.00590524,1,0,636468.9561648755,0.00039978744556749043,0.698242944199911,0.0002791487779193228
1,101624.0963277326,0.10162409632773259,0.698244,2.3515952032610787e-05,0.022822,1.1609048195264642e-05,-0.005935756666666667,1,0,638523.0289018124,0.00039831904189014587,0.6982439446089818,0.00027812387373111054
1,101952.0672105045,0.1019520672105045,0.6982666666666667,1.2423096769101714e-05,0.022739333333333334,1.365515775571043e-05,-0.005681443333333334,1,0,640583.7307336275,0.0003968762363751639,0.6982666116744153,0.0002771254393778585
1,102281.0965523036,0.1022810965523036,0.6982803333333334,1.3316656236887343e-05,0.02265913333333333,1.0600628912161627e-05,-0.005706876666666666,1,0,642651.0830596506,0.0003954764823150644,0.6982802787272366,0.0002761534426979816
1,102611.1877686375,0.1026111877686375,0.6982883333333333,6.506407098666306e-06,0.0225775,1.3472564715005283e-05,-0.00583912,1,0,644725.1073401488,0.00039405171186901976,0.6982882791193619,0.0002751617060071286
1,102942.3442862054,0.10294234428620541,0.6982983333333334,2.2030282189126125e-05,0.02249596666666667,9.938477415244311e-06,-0.005798426666666666,1,0,646805.8251057082,0.0003926286867522271,0.6982982795094462,0.0002741719505336682
1,103274.5695436432,0.1032745695436432,0.6983016666666666,2.458319208991947e-05,0.0224164,1.0070253224224687e-05,-0.0056560099999999995,1,0,648893.2579619153,0.0003912399864440569,0.6983016132225937,0.0002732035276307095
1,103607.866990032,0.103607866990032,0.6983043333333333,2.0647840887914e-05,0.022335400000000002,1.2007914056987325e-05,-0.00576791,1,0,650987.4275799859,0.00038982626974994153,0.6983042802745923,0.00027221736651898937
1,103942.2400848977,0.10394224008489769,0.6983206666666666,2.7209067116210267e-05,0.0222546,1.0785175010170834e-05,-0.005732303333333333,1,0,653088.3556967622,0.00038841604371433005,0.6983206139898872,0.0002712389437704513
1,104277.6923004496,0.1042776923004496,0.6983280000000001,1.8520259177539594e-05,0.022173366666666666,1.0908864896649277e-05,-0.00567127,1,0,655196.0641287789,0.00038699825458529333,0.6983279477065293,0.00027025171038221144
1,104614.2271193418,0.1046142271193418,0.6983446666666667,1.7616280348948827e-05,0.022093,9.880789442143992e-06,-0.005813686666666667,1,0,657310.5747581966,0.00038559559164310725,0.698344614750342,0.00026927861824123985
1,104951.8480346734,0.1049518480346734,0.698356,1.4933184523129479e-05,0.022013599999999998,8.072793816267192e-06,-0.005762823333333333,1,0,659431.9095328046,0.0003842098002170237,0.6983559484553322,0.0002683152126390376
1,105290.5585529729,0.1052905585529729,0.6983566666666667,1.721433511154862e-05,0.021930766666666667,8.34286121982903e-06,-0.005691616666666666,1,0,661560.0904847713,0.0003827640858199551,0.6983566155091274,0.0002673058445658482
1,105630.3621889754,0.1056303621889754,0.6983726666666668,2.857154761874285e-05,0.021852033333333337,8.122397018943892e-06,-0.005691613333333334,1,0,663695.1396978283,0.00038138992992221827,0.6983726158746244,0.0002663522959424015
