N_PMUT,Frequency_MHz,Amplitude_R_mean,Amplitude_R_std,Phase_deg_mean,Phase_deg_std
1,0.1,0.6981836666666666,2.939954648179223e-05,0.02323463333333333,1.423528479986605e-05
1,0.10032272900000001,0.6982050000000001,2.66645832520109e-05,0.02315336666666666,1.339489952680926e-05
1,0.1006465,0.6982216666666666,1.625833119768171e-05,0.02306826666666667,1.002014637284906e-05
1,0.100971316,0.6982213333333332,1.365039681963538e-05,0.0229867,1.447307845622349e-05
1,0.10129717999999999,0.6982430000000001,2.193171219938959e-05,0.02290613333333333,1.019280792192796e-05
1,0.10162409600000001,0.698244,2.351595203261079e-05,0.022822,1.160904819526464e-05
1,0.101952067,0.6982666666666667,1.242309676910171e-05,0.02273933333333333,1.365515775571043e-05
1,0.10228109699999999,0.6982803333333334,1.331665623688734e-05,0.02265913333333333,1.060062891216163e-05
1,0.10261118799999999,0.6982883333333333,6.506407098666306e-06,0.0225775,1.347256471500528e-05
1,0.10294234399999999,0.6982983333333334,2.203028218912613e-05,0.02249596666666667,9.938477415244311e-06
1,0.10327457000000001,0.6983016666666666,2.458319208991947e-05,0.0224164,1.007025322422469e-05
1,0.10360786699999999,0.6983043333333333,2.0647840887914e-05,0.0223354,1.200791405698733e-05
1,0.10394224,0.6983206666666666,2.720906711621027e-05,0.0222546,1.078517501017083e-05
1,0.10427769199999999,0.6983280000000001,1.852025917753959e-05,0.02217336666666667,1.090886489664928e-05
1,0.104614227,0.6983446666666667,1.761628034894883e-05,0.022093,9.880789442143992e-06
1,0.104951848,0.698356,1.493318452312948e-05,0.0220136,8.072793816267192e-06
1,0.10529055899999999,0.6983566666666667,1.721433511154862e-05,0.02193076666666667,8.34286121982903e-06
1,0.10563036199999999,0.6983726666666668,2.857154761874285e-05,0.02185203333333334,8.122397018943892e-06
1,0.105971262,0.6983790000000001,3.732291521309227e-05,0.02177406666666666,6.74116706018652e-06
1,0.106313263,0.698389,2.971531591620521e-05,0.02169346666666666,7.050059101405904e-06
1,0.106656367,0.6984073333333334,3.288363321368329e-05,0.02161603333333333,6.709197666884116e-06
1,0.107000579,0.698416,3.567912554980689e-05,0.0215353,7.01925922017234e-06
1,0.107345901,0.6984176666666667,3.028751117764763e-05,0.02145823333333334,8.672562097404101e-06
1,0.107692338,0.69843,2.868797657552017e-05,0.0213796,5.82065288434097e-06
1,0.108039893,0.6984476666666666,3.017173069838636e-05,0.0213003,7.448489779814001e-06
1,0.108388569,0.698446,2.722131517765861e-05,0.0212223,6.928924880528914e-06
1,0.108738371,0.69846,2.364318083506749e-05,0.02114336666666667,6.423654204061906e-06
1,0.109089302,0.698473,3.551056180915085e-05,0.02106556666666666,4.16813307529104e-06
1,0.109441365,0.6984836666666667,2.581343319541831e-05,0.02098886666666666,5.828664798505686e-06
1,0.109794565,0.6984986666666666,2.00333056017364e-05,0.02091253333333333,5.409559439856798e-06
1,0.11014890399999999,0.6985069999999999,3.223352292251853e-05,0.0208329,6.808817812218721e-06
1,0.110504387,0.6985173333333333,1.934769581458553e-05,0.02075626666666667,7.193283904681202e-06
1,0.110861017,0.6985389999999999,2.099999999994963e-05,0.02067916666666667,6.473278406906263e-06
1,0.111218798,0.698546,2.306512518930208e-05,0.02060116666666667,4.536885862939319e-06
1,0.111577734,0.6985466666666666,1.28582010145953e-05,0.02052616666666667,5.485739087246769e-06
1,0.11193782799999999,0.6985556666666667,1.789785834486425e-05,0.0204473,6.383572667402734e-06
1,0.112299085,0.6985636666666667,6.806859285596872e-06,0.0203713,6.518435395092196e-06
1,0.112661507,0.6985796666666667,1.803699901132398e-05,0.02029483333333333,3.690979996334956e-06
1,0.113025099,0.6985939999999999,1.873499399524726e-05,0.02021986666666667,5.179124765182038e-06
1,0.113389864,0.6986043333333334,3.023794525647502e-05,0.02014286666666667,4.350095784387843e-06
1,0.113755807,0.6986023333333332,3.513308032802688e-05,0.0200684,4.856953777832594e-06
1,0.11412293,0.6986236666666666,2.902297940137362e-05,0.0199901,3.724244889907373e-06
1,0.114491238,0.6986383333333333,2.750151510983317e-05,0.01991483333333333,2.948445918333644e-06
1,0.114860735,0.698649,2.586503431274826e-05,0.0198393,4.309292285283381e-06
1,0.115231425,0.6986586666666668,2.138535324317893e-05,0.01976426666666667,3.955165398985452e-06
1,0.11560331,0.698677,2.523885892825777e-05,0.01968986666666667,3.400490160747057e-06
1,0.115976396,0.6986863333333333,1.973153144927535e-05,0.019613,3.973663297260142e-06
1,0.116350686,0.6986936666666667,2.610236260066053e-05,0.0195376,1.216552506060832e-06
1,0.116726184,0.698706,2.981610303167671e-05,0.01946173333333333,3.647373484211397e-06
1,0.117102894,0.6987213333333333,2.514623895003408e-05,0.01938863333333334,2.514623895006802e-06
1,0.11748082000000001,0.6987369999999999,2.463736998953617e-05,0.0193125,2.961418578991042e-06
1,0.117859965,0.69875,1.833030277984169e-05,0.01923713333333333,3.00055550412414e-06
1,0.118240334,0.6987593333333333,1.501110699893234e-05,0.0191614,2.762245463386755e-06
1,0.11862192999999999,0.6987606666666667,2.874601421654678e-05,0.0190865,2.685144316420377e-06
1,0.119004758,0.6987676666666666,1.761628034898638e-05,0.0190115,3.260368077380119e-06
1,0.11938882099999999,0.6987836666666668,1.833939293797459e-05,0.0189359,3.034798181100001e-06
1,0.119774124,0.6987929999999999,1.873499399515615e-05,0.0188618,2.868797657557858e-06
1,0.12016067,0.698801,1.734935157288763e-05,0.018788,1.374772708487199e-06
1,0.12054846400000001,0.6988063333333333,2.874601421646005e-05,0.01871373333333333,1.320353488021986e-06
1,0.12093751,0.6988343333333334,2.098412098067941e-05,0.01863906666666667,1.721433511158156e-06
1,0.12132781100000001,0.698839,2.193171219941427e-05,0.01856316666666667,3.066485501896e-06
1,0.12171937099999999,0.6988513333333334,1.965536398373712e-05,0.01848916666666667,3.178574103795479e-06
1,0.122112195,0.6988613333333333,2.145538005565909e-05,0.01841426666666667,9.451631252498335e-07
1,0.12250628699999999,0.6988856666666666,1.950213663505714e-05,0.01833933333333333,1.001665280089381e-06
1,0.122901651,0.6988853333333332,1.006644591365477e-05,0.0182638,1.997498435544461e-06
1,0.123298291,0.6989053333333333,1.361371857111559e-05,0.01818853333333334,1.677299416719701e-06
1,0.123696211,0.6989096666666667,1.858314648636576e-05,0.01811503333333333,1.965536398373222e-06
1,0.12409541499999999,0.6989163333333334,2.023198787401296e-05,0.01803933333333333,2.706165799305799e-06
1,0.124495908,0.6989186666666667,2.050203241949874e-05,0.0179655,7.937253933204005e-07
1,0.124897693,0.6989393333333332,1.60416125540529e-05,0.01789063333333333,1.274100990241378e-06
1,0.125300774,0.6989483333333334,2.37557010701665e-05,0.0178163,2.930870177951511e-06
1,0.125705157,0.698957,2.455605831553001e-05,0.01774316666666667,1.604161255402082e-06
1,0.126110844,0.6989613333333334,1.625833119769537e-05,0.01766796666666667,1.42243921955808e-06
1,0.126517841,0.6989636666666666,7.767453465168944e-06,0.0175966,1.900000000001224e-06
1,0.126926151,0.6989693333333333,2.145538005570954e-05,0.017521,5.56776436282967e-07
1,0.12733577899999998,0.698985,2.165640782771207e-05,0.01744886666666667,4.509249752821762e-07
1,0.12774673,0.6989966666666666,1.662327685303185e-05,0.0173752,1.345362404707569e-06
1,0.128159006,0.6990063333333333,1.814754345172006e-05,0.01730226666666667,1.357694123628666e-06
1,0.128572613,0.6990143333333334,1.715614564330686e-05,0.01722956666666667,1.069267662157016e-06
1,0.128987554,0.6990219999999999,1.044030650895023e-05,0.01715743333333333,7.637626158248444e-07
1,0.129403835,0.6990270000000001,1.513274595040551e-05,0.01708583333333333,1.443375672972253e-06
1,0.129821459,0.6990416666666667,5.859465277077912e-06,0.01701243333333333,2.267891825756521e-06
1,0.130240432,0.6990503333333332,2.35017729827866e-05,0.01694116666666667,1.285820101467625e-06
1,0.130660756,0.6990546666666667,2.157158624980389e-05,0.01686956666666667,2.872861523520862e-06
1,0.131082436,0.6990706666666666,2.532455988422784e-05,0.01679843333333333,5.859465277098587e-07
1,0.131505478,0.6990820000000001,2.291287847473852e-05,0.0167267,1.907878402834563e-06
1,0.131929885,0.6990876666666667,2.640706976047195e-05,0.01665686666666667,1.040832999733621e-06
1,0.132355662,0.6990936666666667,2.26789182576042e-05,0.0165862,2.515949125083155e-06
1,0.132782812,0.6991019999999999,2.946183972525715e-05,0.01651546666666667,2.573583752929946e-06
1,0.133211342,0.6991093333333334,2.379775899810436e-05,0.01644483333333334,1.985782801148244e-06
1,0.133641254,0.6991233333333332,2.079262689829098e-05,0.016373,1.835755975069326e-06
1,0.134072553,0.6991296666666668,1.327905619140672e-05,0.01630273333333333,8.962886439833788e-07
1,0.134505245,0.6991350000000001,8.660254037788948e-06,0.01623313333333333,2.900574655708587e-06
1,0.13493933300000002,0.6991446666666666,2.63881286440475e-05,0.01616366666666667,2.45831920899738e-06
1,0.13537482199999998,0.6991536666666667,2.375570107009581e-05,0.0160942,1.852025917745501e-06
1,0.135811716,0.699159,3.559494346113499e-05,0.01602383333333333,1.331665623696503e-06
1,0.136250021,0.6991706666666667,1.250333288899249e-05,0.01595503333333333,2.627419519859601e-06
1,0.13668974,0.6991816666666667,9.609023536959991e-06,0.01588496666666667,1.950213663507272e-06
1,0.13713087799999998,0.6991846666666666,9.712534856238691e-06,0.0158161,1.946792233394092e-06
1,0.13757344,0.699188,9.165151389939016e-06,0.01574816666666667,2.973774257291489e-06
1,0.13801743,0.6992066666666666,1.795364401268368e-05,0.01567783333333333,3.317127271198706e-06
1,0.13846285200000003,0.699211,1.410673597972426e-05,0.0156096,2.685144316419464e-06
1,0.138909713,0.6992196666666667,2.400694344005318e-05,0.01554,1.777638883463393e-06
1,0.139358015,0.6992276666666667,3.10053758780001e-05,0.0154736,2.70739727413598e-06
1,0.139807765,0.6992363333333333,2.850146195079488e-05,0.01540363333333333,3.150132272355748e-06
1,0.14025896599999998,0.6992583333333333,1.747378989607221e-05,0.01533566666666667,2.800595174840343e-06
1,0.14071162299999998,0.6992683333333334,2.893671255219989e-05,0.01526736666666667,1.955334583475585e-06
1,0.14116573999999998,0.6992736666666667,2.532455988431187e-05,0.0151973,3.377869150811812e-06
1,0.141621324,0.6992790000000001,1.652271164188995e-05,0.01513136666666667,2.730079363925441e-06
1,0.142078378,0.6992796666666666,7.571877794411603e-06,0.015063,2.835489375752131e-06
1,0.142536906,0.6993033333333333,2.050203241954093e-05,0.0149936,4.54312667663926e-06
1,0.142996915,0.6993136666666667,1.357694123625261e-05,0.01492656666666667,3.955165398985983e-06
1,0.143458408,0.6993269999999999,1.04403065089077e-05,0.01485826666666667,3.113411847688875e-06
1,0.143921391,0.6993323333333334,1.069267662160028e-05,0.0147905,4.232020793899503e-06
1,0.144385867,0.6993426666666668,1.386842937513e-05,0.01472376666666667,2.814841617807085e-06
