Target_PMUT,N_train,Approach,Model,Full_MAE,Full_R2,ROI_MAE,ROI_R2
14,13,Pointwise,MLP,0.002928,0.5237,0.008198,-2.7485
14,13,Pointwise,Physics,0.002998,-0.0071,0.01902,-16.2009
15,14,Vector,RF,0.000222,0.9972,0.000607,0.9762
15,14,Vector,GB,0.000161,0.9981,0.000588,0.9795
15,14,Vector,MLP,0.003922,0.296,0.006121,-0.8549
15,14,Vector,Physics,0.003118,-0.0015,0.018863,-15.5884
15,14,Pointwise,RF,0.000161,0.998,0.000594,0.9785
15,14,Pointwise,GB,0.00036,0.9893,0.001293,0.8803
15,14,Pointwise,MLP,0.002254,0.6405,0.008035,-2.6106
15,14,Pointwise,Physics,0.003118,-0.0015,0.018863,-15.5884
16,15,Vector,RF,0.00011,0.9992,0.000384,0.9915
16,15,Vector,GB,6e-05,0.9998,0.000173,0.9983
16,15,Vector,MLP,0.003617,0.4081,0.005183,-0.3469
16,15,Vector,Physics,0.003176,-0.0003,0.018742,-15.4328
16,15,Pointwise,RF,7.3e-05,0.9995,0.000306,0.9947
16,15,Pointwise,GB,0.000325,0.9919,0.001112,0.9119
16,15,Pointwise,MLP,0.002045,0.6598,0.008131,-2.6319
16,15,Pointwise,Physics,0.003176,-0.0003,0.018742,-15.4328
